vendor_id,year_month,risk_score,delivery_score,dispute_score,quality_score,overall_trend
V345,2025-01,16.0,89.4,11.7,81.7,stable
V345,2025-01,13.2,87.5,8.6,100.0,stable
V345,2025-03,17.8,85.1,13.3,89.6,increasing
V345,2025-04,14.7,84.5,5.7,72.9,increasing
V345,2025-05,14.7,91.2,7.9,87.5,increasing
V345,2025-05,16.4,78.8,7.1,87.5,increasing
V345,2025-06,18.2,72.2,10.8,82.9,increasing
V345,2025-07,20.0,82.3,12.6,82.5,increasing
V345,2025-08,21.0,70.5,14.8,67.2,increasing
V345,2025-09,22.1,73.9,6.9,85.9,increasing
V345,2025-10,20.6,77.3,11.9,78.6,increasing
V345,2025-11,21.8,70.9,9.8,87.1,increasing
V302,2025-01,53.1,55.2,29.5,53.8,stable
V302,2025-01,52.0,57.0,26.5,50.0,stable
V302,2025-03,51.2,40.0,26.6,50.0,increasing
V302,2025-04,56.8,40.0,30.9,55.3,increasing
V302,2025-05,53.9,44.3,28.4,50.0,increasing
V302,2025-05,53.5,40.9,30.1,50.0,increasing
V302,2025-06,54.4,51.6,30.7,56.2,increasing
V302,2025-07,59.6,50.3,29.4,50.0,increasing
V302,2025-08,56.5,40.0,24.2,50.3,increasing
V302,2025-09,58.4,40.0,25.5,50.0,increasing
V302,2025-10,56.8,45.6,32.4,50.0,increasing
V302,2025-11,59.6,42.7,27.8,50.0,increasing
V064,2025-01,59.0,40.0,32.4,50.0,stable
V064,2025-01,62.1,40.0,29.7,50.0,stable
V064,2025-03,60.5,40.0,29.7,50.0,stable
V064,2025-04,61.7,40.0,32.3,50.0,stable
V064,2025-05,60.8,45.7,34.3,50.0,stable
V064,2025-05,63.8,40.0,34.2,50.0,stable
V064,2025-06,64.7,40.0,35.5,50.0,stable
V064,2025-07,64.5,40.0,27.6,50.0,stable
V064,2025-08,65.6,40.0,34.3,50.0,stable
V064,2025-09,62.8,45.0,32.3,50.0,stable
V064,2025-10,61.6,40.0,26.7,50.0,stable
V064,2025-11,61.1,40.0,35.2,53.4,stable
V396,2025-01,34.0,67.4,17.6,77.2,stable
V396,2025-01,34.6,70.1,21.7,51.6,stable
V396,2025-03,39.0,55.6,17.1,53.0,increasing
V396,2025-04,39.1,61.2,22.5,57.5,increasing
V396,2025-05,41.3,66.3,16.1,63.1,increasing
V396,2025-05,37.2,72.2,19.9,56.0,increasing
V396,2025-06,41.7,59.9,21.6,54.6,increasing
V396,2025-07,40.2,61.5,24.1,50.0,increasing
V396,2025-08,40.2,69.3,17.3,57.0,increasing
V396,2025-09,44.3,52.6,25.1,67.3,increasing
V396,2025-10,40.1,67.5,19.5,51.8,increasing
V396,2025-11,43.9,51.7,18.5,50.0,increasing
V457,2025-01,31.9,72.5,15.7,67.5,stable
V457,2025-01,29.1,64.1,17.9,56.6,stable
V457,2025-03,28.9,72.5,11.1,74.9,increasing
V457,2025-04,29.8,71.7,10.4,63.0,increasing
